Datetime,Text,Username,location,hashtags,label
2021-03-11 23:58:25+00:00,"Bustam, ketua PWI Papua Barat, mengajak para wartawan mendukung program pemerintah mencegah penyebaran Covid-19. Salah satunya dengan mendapat vaksinasi. #OtsusPapuaTerbaik PON XX Papua Siap https://t.co/jpRb6kbOux",ywfbruh,"Pennsylvania, USA",['OtsusPapuaTerbaik'],positif
2021-03-11 23:56:03+00:00,Vaksinasi Diklaim Tingkatkan Jumlah Pengunjung Malioboro https://t.co/gdT9otcsWe #beritajogja #jogja #jogjaistimewa https://t.co/fIF4JxenIm,Harian_Jogja,"Yogyakarta, Indonesia","['beritajogja', 'jogja', 'jogjaistimewa']",positif
2021-03-11 23:40:03+00:00,"Wujudkan kekebalan komunal setelah vaksinasi dengan mematuhi 5M.
Memakai masker, mencuci tangan, menjaga jarak, menjauhi kerumunan dan membatasi mobilitas.

@ronny_tri2000
@DivHumas_Polri
@poldajateng_

#polriindonesia #polriuntukindonesia #kabarpemalang #inipemalang https://t.co/8tTrt4dQuR",polres_pemalang,"Pemalang, Indonesia","['polriindonesia', 'polriuntukindonesia', 'kabarpemalang', 'inipemalang']",negatif
2021-03-11 23:38:51+00:00,"Terima kasih kepada pemerintah atas perhatiannya, sehingga kalangan difabel mendapat kesempatan vaksinasi dalam waktu yang cepat.

#VaksinUntukKita",TomtomTheTITANS,bandung - jakarta,['VaksinUntukKita'],negatif
2021-03-11 23:36:44+00:00,"NU Jatim: Jangan Ikutin Hoaks, Vaksin Sinovac dan Astrazeneca Halal #MengenalVaksinAstraZeneca #PenerimaVaksinCovid19 #EdukasiVaksinCovid19 #Vaksin #Vaksinasi https://t.co/XZCUSLPDCe https://t.co/pdFSgmm7TH",BacaDiBaBe,Indonesia,"['MengenalVaksinAstraZeneca', 'PenerimaVaksinCovid19', 'EdukasiVaksinCovid19', 'Vaksin', 'Vaksinasi']",negatif
2021-03-11 23:36:22+00:00,"Kalangan difabel mendapat prioritas vaksinasi loh, guys!

Sejak Sentra Vaksinasi Bersama di Gelar di Istora Senayan, Jakarta, dari Senin (8/3/2021) hingga hari ke empat, Kamis (11/3/2021) tercatat sudah 10.597 warga menjalani vaksinasi. 250 orang diantaranya adalah kalangan.... https://t.co/UvPYvckV0u",TomtomTheTITANS,bandung - jakarta,,positif
2021-03-11 23:23:47+00:00,"""Saya menghimbau kepada masyarakat untuk jangan takut dan jangan ragu untuk untuk melaksanakan vaksinasi Covid-19 karena vaksinasi Covid-19 itu aman, halal, dan jangan lupa patuhi protokol Kesehatan!""
 Sultan Djorghi Public Figure https://t.co/xGyaNUAqkr",SatPolresta,Jl johan idrus,,negatif
2021-03-11 23:21:54+00:00,"""Saya menghimbau masyarakat untuk jangan takut melakukan vaksinasi Covid-19 karena vaksin Covid-19 itu halal dan aman. Dan jangan lupa patuhi protokol kesehatan.""

FITRI SALHUTERU
Public Figure https://t.co/abVVzbt0Dq",SatPolresta,Jl johan idrus,,negatif
2021-03-11 23:20:35+00:00,"Terjadi Pembekuan Darah Pasca Vaksinasi, Denmark Hentikan Penggunaan Vaksin AstraZeneca https://t.co/rZzOTOm1vD",MNCkoranSINDO,"Jakarta, Indonesia",,negatif
2021-03-11 23:17:25+00:00,"Ketua Umum Parisada Hindu Dharma Indonesia (PHDI) Wisnu Bawa Tenaya mengajak umat Hindu untuk mengikuti program vaksinasi Covid-19. 

👇👇👇

Ajak Umat Hindu Vaksinasi, Ketua PHDI: Ikuti Pemerintah https://t.co/AIto2yGdrH https://t.co/s0HgwVXYzg",Kemenag_RI,,,positif
